Freq.	V(vo)/V(Vi)
1.60324539069002e+002	(-3.98998459950210e+001dB,-9.05877601416828e+001°)
1.60694125301286e+002	(-3.98798194685609e+001dB,-9.05890795766445e+001°)
1.61064563517825e+002	(-3.98597928196651e+001dB,-9.05904021516589e+001°)
1.61435855682647e+002	(-3.98397660476906e+001dB,-9.05917278738581e+001°)
1.61808003764305e+002	(-3.98197391519142e+001dB,-9.05930567503967e+001°)
1.62181009735891e+002	(-3.97997121319189e+001dB,-9.05943887884302e+001°)
1.62554875575047e+002	(-3.97796849872079e+001dB,-9.05957239951360e+001°)
1.62929603263970e+002	(-3.97596577172044e+001dB,-9.05970623777090e+001°)
1.63305194789432e+002	(-3.97396303210977e+001dB,-9.05984039433877e+001°)
1.63681652142779e+002	(-3.97196027985372e+001dB,-9.05997486993829e+001°)
1.64058977319952e+002	(-3.96995751488612e+001dB,-9.06010966529591e+001°)
1.64437172321491e+002	(-3.96795473714050e+001dB,-9.06024478113916e+001°)
1.64816239152549e+002	(-3.96595194658100e+001dB,-9.06038021819444e+001°)
1.65196179822900e+002	(-3.96394914314061e+001dB,-9.06051597719375e+001°)
1.65576996346951e+002	(-3.96194632672892e+001dB,-9.06065205887109e+001°)
1.65958690743754e+002	(-3.95994349731695e+001dB,-9.06078846395891e+001°)
1.66341265037015e+002	(-3.95794065484459e+001dB,-9.06092519319287e+001°)
1.66724721255104e+002	(-3.95593779922059e+001dB,-9.06106224731290e+001°)
1.67109061431069e+002	(-3.95393493042286e+001dB,-9.06119962705612e+001°)
1.67494287602642e+002	(-3.95193204837501e+001dB,-9.06133733316479e+001°)
1.67880401812254e+002	(-3.94992915301581e+001dB,-9.06147536638226e+001°)
1.68267406107045e+002	(-3.94792624427603e+001dB,-9.06161372745402e+001°)
1.68655302538872e+002	(-3.94592332211702e+001dB,-9.06175241712532e+001°)
1.69044093164324e+002	(-3.94392038645355e+001dB,-9.06189143614702e+001°)
1.69433780044731e+002	(-3.94191743723866e+001dB,-9.06203078526788e+001°)
1.69824365246172e+002	(-3.93991447439428e+001dB,-9.06217046524159e+001°)
1.70215850839493e+002	(-3.93791149786516e+001dB,-9.06231047682207e+001°)
1.70608238900310e+002	(-3.93590850758806e+001dB,-9.06245082076552e+001°)
1.71001531509027e+002	(-3.93390550348401e+001dB,-9.06259149783080e+001°)
1.71395730750840e+002	(-3.93190248552776e+001dB,-9.06273250877459e+001°)
1.71790838715757e+002	(-3.92989945363203e+001dB,-9.06287385436082e+001°)
1.72186857498599e+002	(-3.92789640772470e+001dB,-9.06301553535352e+001°)
1.72583789199018e+002	(-3.92589334773332e+001dB,-9.06315755251868e+001°)
1.72981635921508e+002	(-3.92389027363916e+001dB,-9.06329990661980e+001°)
1.73380399775412e+002	(-3.92188718533062e+001dB,-9.06344259843021e+001°)
1.73780082874935e+002	(-3.91988408275750e+001dB,-9.06358562871961e+001°)
1.74180687339159e+002	(-3.91788096585388e+001dB,-9.06372899826059e+001°)
1.74582215292048e+002	(-3.91587783453809e+001dB,-9.06387270782986e+001°)
1.74984668862463e+002	(-3.91387468878987e+001dB,-9.06401675820008e+001°)
1.75388050184174e+002	(-3.91187152849611e+001dB,-9.06416115015400e+001°)
1.75792361395867e+002	(-3.90986835360507e+001dB,-9.06430588447074e+001°)
1.76197604641161e+002	(-3.90786516404158e+001dB,-9.06445096193372e+001°)
1.76603782068614e+002	(-3.90586195974556e+001dB,-9.06459638332653e+001°)
1.77010895831740e+002	(-3.90385874067206e+001dB,-9.06474214943378e+001°)
1.77418948089014e+002	(-3.90185550670640e+001dB,-9.06488826104800e+001°)
1.77827941003890e+002	(-3.89985225781071e+001dB,-9.06503471895640e+001°)
1.78237876744807e+002	(-3.89784899390822e+001dB,-9.06518152395188e+001°)
1.78648757485203e+002	(-3.89584571492959e+001dB,-9.06532867682889e+001°)
1.79060585403527e+002	(-3.89384242080512e+001dB,-9.06547617838327e+001°)
1.79473362683250e+002	(-3.89183911146481e+001dB,-9.06562402941329e+001°)
