Freq.	V(vo)
1.86637969083464e+02	(-2.35715905287017e-04dB,-1.13907131736054e+01°)
1.87068214036577e+02	(-2.35638602503121e-04dB,-1.14170599232539e+01°)
1.87499450806739e+02	(-2.35561486489171e-04dB,-1.14434680307962e+01°)
1.87931681680324e+02	(-2.35484565637932e-04dB,-1.14699376420977e+01°)
1.88364908948977e+02	(-2.35407848487786e-04dB,-1.14964689033918e+01°)
1.88799134909627e+02	(-2.35331343707301e-04dB,-1.15230619612811e+01°)
1.89234361864495e+02	(-2.35255060121272e-04dB,-1.15497169627385e+01°)
1.89670592121112e+02	(-2.35179006708789e-04dB,-1.15764340551083e+01°)
1.90107827992327e+02	(-2.35103192593596e-04dB,-1.16032133861073e+01°)
1.90546071796322e+02	(-2.35027627055659e-04dB,-1.16300551038257e+01°)
1.90985325856621e+02	(-2.34952319532137e-04dB,-1.16569593567287e+01°)
1.91425592502106e+02	(-2.34877279616412e-04dB,-1.16839262936570e+01°)
1.91866874067026e+02	(-2.34802517066771e-04dB,-1.17109560638283e+01°)
1.92309172891013e+02	(-2.34728041798688e-04dB,-1.17380488168384e+01°)
1.92752491319091e+02	(-2.34653863898331e-04dB,-1.17652047026622e+01°)
1.93196831701689e+02	(-2.34579993623520e-04dB,-1.17924238716549e+01°)
1.93642196394658e+02	(-2.34506441387336e-04dB,-1.18197064745530e+01°)
1.94088587759275e+02	(-2.34433217790909e-04dB,-1.18470526624756e+01°)
1.94536008162263e+02	(-2.34360333605094e-04dB,-1.18744625869255e+01°)
1.94984459975802e+02	(-2.34287799782047e-04dB,-1.19019363997904e+01°)
1.95433945577536e+02	(-2.34215627447504e-04dB,-1.19294742533438e+01°)
1.95884467350596e+02	(-2.34143827914285e-04dB,-1.19570763002465e+01°)
1.96336027683602e+02	(-2.34072412689049e-04dB,-1.19847426935475e+01°)
1.96788628970681e+02	(-2.34001393454927e-04dB,-1.20124735866853e+01°)
1.97242273611482e+02	(-2.33930782094672e-04dB,-1.20402691334890e+01°)
1.97696964011183e+02	(-2.33860590681979e-04dB,-1.20681294881795e+01°)
1.98152702580507e+02	(-2.33790831481486e-04dB,-1.20960548053707e+01°)
1.98609491735734e+02	(-2.33721516973843e-04dB,-1.21240452400706e+01°)
1.99067333898716e+02	(-2.33652659825822e-04dB,-1.21521009476828e+01°)
1.99526231496885e+02	(-2.33584272916352e-04dB,-1.21802220840069e+01°)
1.99986186963271e+02	(-2.33516369348091e-04dB,-1.22084088052409e+01°)
2.00447202736513e+02	(-2.33448962406925e-04dB,-1.22366612679813e+01°)
2.00909281260870e+02	(-2.33382065619826e-04dB,-1.22649796292249e+01°)
2.01372424986236e+02	(-2.33315692709532e-04dB,-1.22933640463697e+01°)
2.01836636368153e+02	(-2.33249857632152e-04dB,-1.23218146772167e+01°)
2.02301917867824e+02	(-2.33184574577169e-04dB,-1.23503316799702e+01°)
2.02768271952125e+02	(-2.33119857941402e-04dB,-1.23789152132398e+01°)
2.03235701093619e+02	(-2.33055722371437e-04dB,-1.24075654360415e+01°)
2.03704207770569e+02	(-2.32992182735660e-04dB,-1.24362825077984e+01°)
2.04173794466950e+02	(-2.32929254144512e-04dB,-1.24650665883427e+01°)
2.04644463672464e+02	(-2.32866951949518e-04dB,-1.24939178379166e+01°)
2.05116217882553e+02	(-2.32805291750046e-04dB,-1.25228364171732e+01°)
2.05589059598411e+02	(-2.32744289386548e-04dB,-1.25518224871784e+01°)
2.06062991326997e+02	(-2.32683960952138e-04dB,-1.25808762094120e+01°)
2.06538015581050e+02	(-2.32624322808985e-04dB,-1.26099977457684e+01°)
2.07014134879101e+02	(-2.32565391568061e-04dB,-1.26391872585587e+01°)
2.07491351745488e+02	(-2.32507184092031e-04dB,-1.26684449105115e+01°)
2.07969668710366e+02	(-2.32449717535763e-04dB,-1.26977708647743e+01°)
2.08449088309726e+02	(-2.32393009300031e-04dB,-1.27271652849146e+01°)
2.08929613085401e+02	(-2.32337077076846e-04dB,-1.27566283349216e+01°)
2.09411245585086e+02	(-2.32281938830164e-04dB,-1.27861601792072e+01°)
2.09893988362349e+02	(-2.32227612803607e-04dB,-1.28157609826074e+01°)
2.10377843976644e+02	(-2.32174117540706e-04dB,-1.28454309103835e+01°)
